DateTime,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpKrakOsPias,MpKrakSwoszo,MpKrakWadow,MpKrakZloRog
2019-01-05 18:00:00,23.0774,18.7123,8.26459,8.10032,,10.9525,16.4932
2019-01-05 19:00:00,32.0249,26.6743,12.5775,17.5757,,10.9069,19.191
2019-01-05 20:00:00,37.3023,28.2547,16.7311,6.68276,,12.2124,21.7198
2019-01-05 21:00:00,22.2885,17.8982,10.4866,7.36137,,7.46878,11.2598
2019-01-05 22:00:00,17.9314,10.2736,8.39154,8.10495,,6.4381,13.9842
2019-01-05 23:00:00,15.8144,11.3646,5.32875,6.01525,,6.35613,11.8392
2019-01-06 00:00:00,17.8273,13.6675,7.44896,8.0402,,10.1479,11.3988
2019-01-06 01:00:00,12.1281,8.57882,9.50877,7.1746,,5.93566,8.21389
2019-01-06 02:00:00,9.6812,9.36,5.4874,9.02766,,6.13907,8.35863
2019-01-06 03:00:00,7.55532,6.48,4.18941,7.55293,,7.13484,5.5852
2019-01-06 04:00:00,8.90024,7.83,9.4554,5.8657,,7.04072,4.29909
2019-01-06 05:00:00,8.43568,8.01,6.15896,8.13291,,5.21009,3.92916
2019-01-06 06:00:00,8.6324,8.46,7.13717,5.612,,5.1266,6.30858
2019-01-06 07:00:00,10.5926,9.54,5.76871,6.24407,,5.80892,6.58202
2019-01-06 08:00:00,10.3965,11.2425,12.0237,6.01918,,5.79981,19.4412
2019-01-06 09:00:00,9.25072,8.28,4.14571,9.6895,,11.6659,3.135
2019-01-06 10:00:00,11.6037,6.35442,4.78041,9.30745,,8.23535,7.35584
2019-01-06 11:00:00,17.1088,5.82738,8.55709,10.1244,,7.63576,8.17961
2019-01-06 12:00:00,16.8428,8.77342,9.36207,7.74112,,11.4913,11.4308
2019-01-06 13:00:00,16.0171,12.2584,7.77534,6.78436,,9.63941,10.4558
2019-01-06 14:00:00,13.0881,12.2043,7.97161,8.97869,,7.18037,9.26461
2019-01-06 15:00:00,13.853,9.75411,7.6302,7.46337,,9.66217,13.0336
2019-01-06 16:00:00,16.9401,8.13418,11.4135,14.6164,,12.144,12.0069
2019-01-06 17:00:00,20.0703,11.79,10.5466,14.0547,,13.6772,14.7997
2019-01-06 18:00:00,21.9035,12.15,11.8036,8.05931,,12.4476,17.8297
2019-01-06 19:00:00,18.9809,12.6105,9.78049,11.5606,,12.0074,13.1267
2019-01-06 20:00:00,19.6208,10.8545,10.7422,10.3371,,15.2785,12.1065
2019-01-06 21:00:00,18.5337,13.5201,11.6949,10.5082,,12.6525,14.8534
2019-01-06 22:00:00,20.2354,14.4973,15.6117,12.8312,,12.9713,14.1431
2019-01-06 23:00:00,20.5446,11.4278,13.0704,14.3263,,19.5136,16.8121
2019-01-07 00:00:00,22.2032,14.7433,12.5781,13.32,,7.57504,10.8533
2019-01-07 01:00:00,21.5796,12.2513,12.1441,10.1845,,15.5923,11.6401
2019-01-07 02:00:00,21.8242,13.4415,13.2253,12.4985,,13.7183,16.4153
2019-01-07 03:00:00,22.8273,12.9911,15.4332,14.1033,,12.2753,16.7265
2019-01-07 04:00:00,23.6138,14.8124,13.4535,15.4233,,15.5455,16.5512
2019-01-07 05:00:00,26.3455,21.3221,11.9228,18.1859,,14.646,16.472
2019-01-07 06:00:00,27.422,22.8694,15.0986,22.572,,18.1784,24.0362
2019-01-07 07:00:00,34.7871,26.981,15.6541,22.4516,,22.7323,23.6501
2019-01-07 08:00:00,48.0242,39.7269,20.6185,26.3199,,21.8327,33.068
2019-01-07 09:00:00,72.7186,53.2934,28.1688,31.8626,,32.6551,38.753
2019-01-07 10:00:00,62.7693,65.8442,31.3095,39.6834,,42.0345,49.0847
2019-01-07 11:00:00,68.4288,62.5747,31.1477,43.7164,,41.8377,62.2184
2019-01-07 12:00:00,60.2499,53.8823,32.684,48.6705,,41.7159,52.9654
2019-01-07 13:00:00,45.9441,42.498,35.6107,43.1289,,29.0758,34.2535
2019-01-07 14:00:00,27.8633,41.575,24.2088,18.3776,,34.2574,30.234
2019-01-07 15:00:00,32.103,39.823,19.9979,21.5474,,28.7291,24.8589
2019-01-07 16:00:00,42.0494,61.5199,26.2634,20.1129,,47.1599,29.822
2019-01-07 17:00:00,74.1068,59.7791,51.7357,41.7256,,52.2571,42.0409
2019-01-07 18:00:00,78.0193,77.474,53.2867,46.3719,,65.5906,70.1761
2019-01-07 19:00:00,78.4706,98.439,57.3992,57.2305,,87.5633,67.8989
2019-01-07 20:00:00,98.4113,99.5586,78.6988,66.0388,,98.4606,80.5847
2019-01-07 21:00:00,99.6395,76.2319,92.9673,65.731,,134.254,87.1702
2019-01-07 22:00:00,98.9867,91.3058,79.4951,75.7883,112.428,120.574,79.6687
2019-01-07 23:00:00,101.117,87.2802,87.2706,64.5503,102.73,111.672,78.5528
2019-01-08 00:00:00,97.5384,65.483,76.9463,65.1467,85.6516,89.7746,77.3725
2019-01-08 01:00:00,90.4952,58.5487,69.1911,57.9729,51.8737,89.6903,81.2152
